,cast
Anupam Kher,43
Shah Rukh Khan,35
Julie Tejwani,33
Naseeruddin Shah,32
Takahiro Sakurai,32
Rupa Bhimani,31
Akshay Kumar,30
Om Puri,30
Yuki Kaji,29
Paresh Rawal,28
Amitabh Bachchan,28
Boman Irani,27
Rajesh Kava,26
Vincent Tong,26
Andrea Libman,25
Kareena Kapoor,25
Samuel L. Jackson,24
John Cleese,24
Fred Tatasciore,23
Jigna Bhardwaj,23
Tara Strong,23
Daisuke Ono,22
Ajay Devgn,21
Nawazuddin Siddiqui,21
Ashleigh Ball,21
Kay Kay Menon,21
Junichi Suwabe,21
Nicolas Cage,21
Adam Sandler,20
Salman Khan,20
David Attenborough,20
Yuichi Nakamura,19
Morgan Freeman,19
Seth Rogen,19
Fred Armisen,19
Gulshan Grover,19
Ai Kayano,19
James Franco,19
David Spade,19
Erin Fitzgerald,19
Mamoru Miyano,19
Kana Hanazawa,18
Anil Kapoor,18
Vatsal Dubey,18
Debi Derryberry,18
Rajesh Sharma,18
Diana Kaarina,18
Fortune Feimster,18
Yashpal Sharma,18
Laura Bailey,18
Saif Ali Khan,17
Priyanka Chopra,17
Molly Shannon,17
Brian Drummond,17
Michela Luci,17
Danny Trejo,17
Bruce Willis,17
Jackie Shroff,17
Kate Higgins,17
Rajpal Yadav,17
Alessandro Juliani,17
Asrani,17
Alfred Molina,16
Manoj Joshi,16
Mike Epps,16
Sam Vincent,16
Laurence Fishburne,16
Tomokazu Sugita,16
Maya Rudolph,16
Kristen Stewart,16
Manoj Bajpayee,16
Sanjay Mishra,16
Blossom Chukwujekwu,16
Kari Wahlgren,16
Robb Wells,16
Hiroshi Kamiya,16
Michael Palin,16
Aamir Khan,16
Miyuki Sawashiro,16
Tinnu Anand,16
Hassan Hosny,16
Amrish Puri,16
Yoshimasa Hosoya,16
Vijay Raaz,16
Jun Fukuyama,16
Takehito Koyasu,15
Richard Mofe-Damijo,15
Michael Peña,15
Antonio Banderas,15
Erin Mathews,15
Pankaj Tripathi,15
Keith David,15
Sanjay Dutt,15
Adil Hussain,15
Eric Idle,15
Sonal Kaushal,15
Sean Astin,15
Chris Rock,15
Toyin Abraham,15
Willem Dafoe,15
Ben Kingsley,15
Kathleen Barr,15
Radhika Apte,15
Grey Griffin,15
John Paul Tremblay,15
Swapnil,14
John Travolta,14
Guy Pearce,14
Pavan Malhotra,14
Katrina Kaif,14
Mousam,14
Demet Akbağ,14
Sharat Saxena,14
Samuel West,14
Dee Bradley Baker,14
Yoko Hikasa,14
Pierce Brosnan,14
Natsuki Hanae,14
Sachin Khedekar,14
Ramsey Nouah,14
Kevin Michael Richardson,14
Terry Jones,14
Kenjiro Tsuda,14
Kulbhushan Kharbanda,14
Ian James Corlett,14
Johnny Depp,14
Helen Mirren,14
Tony Hale,14
Tabitha St. Germain,14
Kazuhiko Inoue,14
Shaffy Bello,14
Irrfan Khan,14
Liam Neeson,14
Bimbo Manuel,14
Ranvir Shorey,14
John Abraham,14
Yoshitsugu Matsuoka,14
Rajkummar Rao,14
Woody Harrelson,14
Shakti Kapoor,14
Rosario Dawson,14
Mahesh Manjrekar,13
