,song_name,song_artist,song
0,as it was,harry styles,As It Was by Harry Styles
1,first class,jack harlow,First Class by Jack Harlow
2,heat waves,glass animals,Heat Waves by Glass Animals
3,big energy,latto,Big Energy by Latto
4,enemy,imagine dragons x jid,Enemy by Imagine Dragons X Jid
5,stay,the kid laroi & justin bieber,Stay by The Kid Laroi & Justin Bieber
6,don't think jesus,morgan wallen,Don'T Think Jesus by Morgan Wallen
7,woman,doja cat,Woman by Doja Cat
8,super gremlin,kodak black,Super Gremlin by Kodak Black
9,ghost,justin bieber,Ghost by Justin Bieber
10,thats what i want,lil nas x,Thats What I Want by Lil Nas X
11,bad habits,ed sheeran,Bad Habits by Ed Sheeran
12,abcdefu,gayle,Abcdefu by Gayle
13,shivers,ed sheeran,Shivers by Ed Sheeran
14,cold heart (pnau remix),elton john & dua lipa,Cold Heart (Pnau Remix) by Elton John & Dua Lipa
15,easy on me,adele,Easy On Me by Adele
16,need to know,doja cat,Need To Know by Doja Cat
17,save your tears,the weeknd & ariana grande,Save Your Tears by The Weeknd & Ariana Grande
18,one right now,post malone & the weeknd,One Right Now by Post Malone & The Weeknd
19,in a minute,lil baby,In A Minute by Lil Baby
20,levitating,dua lipa,Levitating by Dua Lipa
21,'til you can't,cody johnson,'Til You Can'T by Cody Johnson
22,industry baby,lil nas x & jack harlow,Industry Baby by Lil Nas X & Jack Harlow
23,mamiii,becky g x karol g,Mamiii by Becky G X Karol G
24,bam bam,camila cabello featuring ed sheeran,Bam Bam by Camila Cabello Featuring Ed Sheeran
25,hrs and hrs,muni long,Hrs And Hrs by Muni Long
26,we don't talk about bruno,"carolina gaitan, mauro castillo, adassa, rhenzy feliz, diane guerrero, stephanie beatriz & encanto cast","We Don'T Talk About Bruno by Carolina Gaitan, Mauro Castillo, Adassa, Rhenzy Feliz, Diane Guerrero, Stephanie Beatriz & Encanto Cast"
27,right on,lil baby,Right On by Lil Baby
28,never say never,cole swindell / lainey wilson,Never Say Never by Cole Swindell / Lainey Wilson
29,doin' this,luke combs,Doin' This by Luke Combs
30,wasted on you,morgan wallen,Wasted On You by Morgan Wallen
31,aa,walker hayes,Aa by Walker Hayes
32,good 4 u,olivia rodrigo,Good 4 U by Olivia Rodrigo
33,sweetest pie,megan thee stallion & dua lipa,Sweetest Pie by Megan Thee Stallion & Dua Lipa
34,fingers crossed,lauren spencer-smith,Fingers Crossed by Lauren Spencer-Smith
35,i hate u,sza,I Hate U by Sza
36,boyfriend,dove cameron,Boyfriend by Dove Cameron
37,to the moon!,jnr choi & sam tompkins,To The Moon! by Jnr Choi & Sam Tompkins
38,you right,doja cat & the weeknd,You Right by Doja Cat & The Weeknd
39,numb little bug,em beihold,Numb Little Bug by Em Beihold
40,fancy like,walker hayes,Fancy Like by Walker Hayes
41,sand in my boots,morgan wallen,Sand In My Boots by Morgan Wallen
42,what happened to virgil,lil durk featuring gunna,What Happened To Virgil by Lil Durk Featuring Gunna
43,pushin p,gunna & future featuring young thug,Pushin P by Gunna & Future Featuring Young Thug
44,beers on me,"dierks bentley, breland & hardy","Beers On Me by Dierks Bentley, Breland & Hardy"
45,the motto,tiesto & ava max,The Motto by Tiesto & Ava Max
46,she's all i wanna be,tate mcrae,She'S All I Wanna Be by Tate Mcrae
47,when you're gone,shawn mendes,When You'Re Gone by Shawn Mendes
48,buy dirt,jordan davis featuring luke bryan,Buy Dirt by Jordan Davis Featuring Luke Bryan
49,about damn time,lizzo,About Damn Time by Lizzo
50,shake it,"kay flock, cardi b, dougie b & bory300","Shake It by Kay Flock, Cardi B, Dougie B & Bory300"
51,light switch,charlie puth,Light Switch by Charlie Puth
52,if i was a cowboy,miranda lambert,If I Was A Cowboy by Miranda Lambert
53,peru,fireboy dml & ed sheeran,Peru by Fireboy Dml & Ed Sheeran
54,flowers,lauren spencer-smith,Flowers by Lauren Spencer-Smith
55,nail tech,jack harlow,Nail Tech by Jack Harlow
56,freaky deaky,tyga x doja cat,Freaky Deaky by Tyga X Doja Cat
57,23,sam hunt,23 by Sam Hunt
58,trouble with a heartbreak,jason aldean,Trouble With A Heartbreak by Jason Aldean
59,broadway girls,lil durk featuring morgan wallen,Broadway Girls by Lil Durk Featuring Morgan Wallen
60,heart on fire,eric church,Heart On Fire by Eric Church
61,no love,summer walker & sza,No Love by Summer Walker & Sza
62,surface pressure,jessica darrow,Surface Pressure by Jessica Darrow
63,slow down summer,thomas rhett,Slow Down Summer by Thomas Rhett
64,flower shops,ernest featuring morgan wallen,Flower Shops by Ernest Featuring Morgan Wallen
65,never wanted to be that girl,carly pearce & ashley mcbryde,Never Wanted To Be That Girl by Carly Pearce & Ashley Mcbryde
66,me or sum,"nardo wick, lil baby & future","Me Or Sum by Nardo Wick, Lil Baby & Future"
67,ahhh ha,lil durk,Ahhh Ha by Lil Durk
68,give heaven some hell,hardy,Give Heaven Some Hell by Hardy
69,handsomer,russ featuring ktlyn,Handsomer by Russ Featuring Ktlyn
70,envolver,anitta,Envolver by Anitta
71,do we have a problem?,nicki minaj x lil baby,Do We Have A Problem? by Nicki Minaj X Lil Baby
72,get into it (yuh),doja cat,Get Into It (Yuh) by Doja Cat
73,rumors,gucci mane featuring lil durk,Rumors by Gucci Mane Featuring Lil Durk
